SP,GD,NUM_MUT,DROPPED_PAIRS,SEQS,IUCN,IUCN_fact,IUCN_bin,IUCN_cr.en_1,taxonid,scientific_name,kingdom,phylum,class,order,family,genus,category,population_trend,marine_system,freshwater_system,terrestrial_system
Thamnophilus unicolor,0.010718558,222,0,7,LC,1,0,0,22701312,Thamnophilus unicolor,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnophilus,LC,Decreasing,FALSE,FALSE,TRUE
Thraupis episcopus,0.010247632,150,12,7,LC,1,0,0,22722527,Tangara episcopus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THRAUPIDAE,Tangara,LC,Increasing,FALSE,FALSE,TRUE
Threskiornis aethiopicus,0.001999734,8,22,7,LC,1,0,0,22697510,Threskiornis aethiopicus,ANIMALIA,CHORDATA,AVES,PELECANIFORMES,THRESKIORNITHIDAE,Threskiornis,LC,Stable,FALSE,TRUE,TRUE
Tiaris bicolor,0.004479931,525,0,17,LC,1,0,0,22723611,Melanospiza bicolor,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THRAUPIDAE,Melanospiza,LC,Increasing,FALSE,FALSE,TRUE
Tiaris olivaceus,0.007303823,171,0,8,LC,1,0,0,22723603,Tiaris olivaceus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THRAUPIDAE,Tiaris,LC,Increasing,FALSE,FALSE,TRUE
Tityra inquisitor,0.018776616,551,16,9,LC,1,0,0,22700692,Tityra inquisitor,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TITYRIDAE,Tityra,LC,Decreasing,FALSE,TRUE,TRUE
Tityra semifasciata,0.0103469,11441,94,48,LC,1,0,0,22700689,Tityra semifasciata,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TITYRIDAE,Tityra,LC,Decreasing,FALSE,FALSE,TRUE
Tockus erythrorhynchus,0.014422857,191,42,10,LC,1,0,0,22725930,Tockus erythrorhynchus,ANIMALIA,CHORDATA,AVES,BUCEROTIFORMES,BUCEROTIDAE,Tockus,LC,Stable,FALSE,TRUE,TRUE
Toxostoma curvirostre,0.013646286,20030,0,83,LC,1,0,0,22711115,Toxostoma curvirostre,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MIMIDAE,Toxostoma,LC,Decreasing,FALSE,FALSE,TRUE
Toxostoma redivivum,0.00348916,8034,130,66,LC,1,0,0,22711124,Toxostoma redivivum,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MIMIDAE,Toxostoma,LC,Decreasing,FALSE,FALSE,TRUE
Tragopan temminckii,0.003001214,48,0,6,LC,1,0,0,22679169,Tragopan temminckii,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Tragopan,LC,Decreasing,FALSE,FALSE,TRUE
Troglodytes aedon,0.021622494,210,14,7,LC,1,0,0,103886826,Troglodytes aedon,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TROGLODYTIDAE,Troglodytes,LC,Increasing,FALSE,FALSE,TRUE
Troglodytes troglodytes,0.013998292,12960,0,45,LC,1,0,0,103883277,Troglodytes troglodytes,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TROGLODYTIDAE,Troglodytes,LC,Increasing,FALSE,FALSE,TRUE
Trogon collaris,0.026250345,570,0,7,LC,1,0,0,61692251,Trogon collaris,ANIMALIA,CHORDATA,AVES,TROGONIFORMES,TROGONIDAE,Trogon,LC,Decreasing,FALSE,FALSE,TRUE
Trogon rufus,0.043731192,26251,0,35,LC,1,0,0,22682810,Trogon rufus,ANIMALIA,CHORDATA,AVES,TROGONIFORMES,TROGONIDAE,Trogon,LC,Decreasing,FALSE,FALSE,TRUE
Tryngites subruficollis,0.002174805,4836,0,77,NT,2,0,0,22693447,Calidris subruficollis,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Calidris,NT,Decreasing,FALSE,FALSE,TRUE
Turdus assimilis,0.007166948,1566,0,21,LC,1,0,0,22708938,Turdus assimilis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,LC,Decreasing,FALSE,FALSE,TRUE
Turdus daguae,0.003714969,59,0,6,LC,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turdus falcklandii,0.002708595,1637,0,42,LC,1,0,0,22708885,Turdus falcklandii,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,LC,Stable,FALSE,FALSE,TRUE
Turdus leucomelas,0.017291522,82,20,7,LC,1,0,0,22708888,Turdus leucomelas,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,LC,Stable,FALSE,FALSE,TRUE
Turdus lherminieri,0.032681332,464,0,6,VU,3,1,0,22708544,Turdus lherminieri,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,NT,Unknown,FALSE,FALSE,TRUE
Turdus merula,0.012463658,23248,120,75,LC,1,0,0,103888106,Turdus merula,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,LC,Increasing,FALSE,FALSE,TRUE
Turdus migratorius,0.002032505,484,236,27,LC,1,0,0,103889499,Turdus migratorius,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,LC,Stable,FALSE,FALSE,TRUE
Turdus naumanni,0.004817467,48,2,6,LC,1,0,0,103892088,Turdus naumanni,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,LC,Unknown,FALSE,FALSE,TRUE
Turdus pallidus,0.002114653,13,24,7,LC,1,0,0,22708797,Turdus pallidus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,LC,Unknown,FALSE,FALSE,TRUE
Turdus philomelos,0.005512391,50,10,7,LC,1,0,0,22708822,Turdus philomelos,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,LC,Increasing,FALSE,FALSE,TRUE
Turdus poliocephalus,0.014787733,664,0,10,LC,1,0,0,103891993,Turdus poliocephalus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,LC,Decreasing,FALSE,FALSE,TRUE
Turdus rufopalliatus,0.009011956,9292,0,45,LC,1,0,0,22734203,Turdus rufopalliatus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,LC,Stable,FALSE,FALSE,TRUE
Turdus torquatus,0.00291252,1338,318,56,LC,1,0,0,22708768,Turdus torquatus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,LC,Stable,FALSE,FALSE,TRUE
Tyto alba,0.041848759,13613,1002,46,LC,1,0,0,22688504,Tyto alba,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,TYTONIDAE,Tyto,LC,Stable,FALSE,TRUE,TRUE
Upupa epops,0.003932966,7080,0,57,LC,1,0,0,22682655,Upupa epops,ANIMALIA,CHORDATA,AVES,BUCEROTIFORMES,UPUPIDAE,Upupa,LC,Decreasing,FALSE,FALSE,TRUE
Uragus sibiricus,0.005229591,275,0,12,LC,1,0,0,22720543,Carpodacus sibiricus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FRINGILLIDAE,Carpodacus,LC,Stable,FALSE,FALSE,TRUE
Uria aalge,0.009853287,155,24,8,LC,1,0,0,22694841,Uria aalge,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,ALCIDAE,Uria,LC,Increasing,TRUE,FALSE,TRUE
Uria lomvia,0.006587615,20,20,7,LC,1,0,0,22694847,Uria lomvia,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,ALCIDAE,Uria,LC,Increasing,TRUE,FALSE,TRUE
Urosphena squameiceps,0.010101649,288,0,8,LC,1,0,0,22714368,Urosphena squameiceps,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,SCOTOCERCIDAE,Urosphena,LC,Stable,FALSE,TRUE,TRUE
Vireo cassinii,0.002076714,451,40,21,LC,1,0,0,22705228,Vireo cassinii,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,VIREONIDAE,Vireo,LC,Stable,FALSE,FALSE,TRUE
Vireo olivaceus,0.016102733,57,30,8,LC,1,0,0,155115462,Vireo olivaceus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,VIREONIDAE,Vireo,LC,Increasing,FALSE,FALSE,TRUE
Vireo plumbeus,0.001826978,284,0,17,LC,1,0,0,22705231,Vireo plumbeus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,VIREONIDAE,Vireo,LC,Decreasing,FALSE,FALSE,TRUE
Vireo solitarius,0.002877293,89,32,10,LC,1,0,0,22705234,Vireo solitarius,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,VIREONIDAE,Vireo,LC,Increasing,FALSE,FALSE,TRUE
