to_IUCN	PopId	RefID	Year	TaxaClass	Family	Genus	Species	G_s	Common	Continent	Country	Location	n	FST	GlobalFST	Min.Distance	Max.Distance	Mean.Distance	N.Population	Ho	He	MNA	AR	Lat	Long	Msats	row_id	taxonid	scientific_name	kingdom	phylum	class	order	family	genus	category	population_trend	marine_system	freshwater_system	terrestrial_system	rlcat	meanGD	num_indiv	IUCN_fact	IUCN_binary
Puma yagouaroundi	7714	R932	2013	Mammalia	Felidae	Puma	yagouaroundi	Puma_yagouaroundi	jaguarundi	NAm	MEX	Los Ebanos Ranch	11	NA	NA	Inf	0	NA	1	0.42	0.49	4	NA	23.194	-97.804	12	4471	9948	Herpailurus yagouaroundi	ANIMALIA	CHORDATA	MAMMALIA	CARNIVORA	FELIDAE	Herpailurus	LC	Decreasing	FALSE	FALSE	TRUE	LC	0.49	11	1	0
Pyrrhura orcesi	8888	R1246	2013	Aves	Psittacidae	Pyrrhura	orcesi	Pyrrhura_orcesi	Oro parakeet 	SAm	ECU	Canar	186	NA	NA	Inf	0	NA	1	0.672222222	0.667222222	6.111111111	NA	-2.433	-78.772	18	5954	22685851	Pyrrhura orcesi	ANIMALIA	CHORDATA	AVES	PSITTACIFORMES	PSITTACIDAE	Pyrrhura	EN	Decreasing	FALSE	FALSE	TRUE	EN	0.667222222	186	4	1
Rallus elegans	8820	R1210	2013	Aves	Rallidae	Rallus	elegans	Rallus_elegans	King Rail	NAm	USA	Louisiana	45	NA	NA	Inf	0	NA	1	0.8233	0.836375	13.56	NA	30.26	-91.822	9	5835	62155060	Rallus elegans	ANIMALIA	CHORDATA	AVES	GRUIFORMES	RALLIDAE	Rallus	NT	Decreasing	FALSE	TRUE	TRUE	NT	0.836375	45	2	0
Ramphocelus bresilius	8565	R1086	2014	Aves	Thraupidae	Ramphocelus	Platalea ajaja	Ramphocelus_bresilius	Brazilian tanager	SAm	BRA	Marambaia	77	0.070666667	Population	65699.41276	65699.41276	65699.41276	2	0.4	0.49	NA	4.59	-23.063	-43.566	8	5403	22722510	Ramphocelus bresilius	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	THRAUPIDAE	Ramphocelus	LC	Stable	FALSE	TRUE	TRUE	LC	0.485	177	1	0
Ramphocelus costaricensis	8675	R1135	2006	Aves	Thraupidae	Ramphocelus	costaricensis	Ramphocelus_costaricensis	Cherrie’s tanager	CAm	CRI	Costa Rica	NA	NA	NA	Inf	0	NA	1	0.824285714	0.834285714	13.85714286	NA	9.973	-83.645	7	5577	22729087	Ramphocelus costaricensis	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	THRAUPIDAE	Ramphocelus	LC	Stable	FALSE	FALSE	TRUE	LC	0.834285714	NA	1	0
Ramphocinclus brachyurus	8768	R1084	2006	Aves	Mimidae	Ramphocinclus	brachyurus	Ramphocinclus_brachyurus	white- breasted thrasher	Carr	MTQ	MTQ	20	NA	NA	Inf	0	NA	1	0.608333333	0.59	4.666666667	NA	14.268	-60.924	6	5733	22711137	Ramphocinclus brachyurus	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	MIMIDAE	Ramphocinclus	EN	Decreasing	FALSE	FALSE	TRUE	EN	0.59	273	4	1
Rana cascadae	6073	R670	2004	Amphibia	Ranidae	Rana	cascadae	Rana_cascadae	Cascades frog	NAm	USA	Crystal Springs	21	0.271363636	Population	36531.5241	573805.5164	234850.8092	21	0.505	0.535	4.667	NA	43.312	-122.14	7	2616	19176	Rana cascadae	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	RANIDAE	Rana	NT	Decreasing	FALSE	TRUE	TRUE	NT	0.43352380952381	472	2	0
Rana luteiventris	6038	R669	2005	Amphibia	Ranidae	Rana	luteiventris	Rana_luteiventris	Columbia Spotted Frog	NAm	USA	N. Sweeney 15	90	0.2057	Population	1575.268976	228722.9067	141246.1322	28	NA	0.453	NA	NA	46.641	-114.253	6	2579	58649	Rana luteiventris	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	RANIDAE	Rana	LC	Decreasing	FALSE	TRUE	TRUE	LC	0.500076923076923	1109	1	0
Rana muscosa	6028	R668	2011	Amphibia	Ranidae	Rana	muscosa	Rana_muscosa	Southern Mountain Yellow-Legged Frog	NAm	USA	South Fork Big Rock Creek	72	0.3282	Population	3767.519185	281774.6885	79200.60606	9	0.411	0.433	NA	4.556	34.364	-117.833	9	2562	19177	Rana muscosa	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	RANIDAE	Rana	EN	Decreasing	FALSE	TRUE	TRUE	EN	0.459555555555556	479	4	1
Rana pretiosa	5995	R666	2010	Amphibia	Ranidae	Rana	pretiosa	Rana_pretiosa	Oregon spotted frog	NAm	USA	Klamath Marsh 	61	0.4418	Population	9032.756245	701582.0232	232420.1155	22	NA	0.47	3.165	2.92	42.963	-121.586	11	2525	19179	Rana pretiosa	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	RANIDAE	Rana	VU	Decreasing	FALSE	TRUE	TRUE	VU	0.502216216216216	1200	3	1
Rangifer tarandus	7143	R837	2010	Mammalia	Cervidae	Rangifer	tarandus	Rangifer_tarandus	Caribou	NAm	CAN	Wabowden	147	0.0475	Population	194678.6479	503836.3935	293111.5429	6	0.71	0.75	9.3	NA	54.901	-98.619	11	3806	29742	Rangifer tarandus	ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	CERVIDAE	Rangifer	VU	Decreasing	FALSE	FALSE	TRUE	VU	0.73762	5318	3	1
Ranitomeya imitator	4850	R480	2009	Amphibia	Dendrobatidae	Ranitomeya	imitator	Ranitomeya_imitator	Mimic Poison Frog  	SAm	PER	Chazuta	210	NA	NA	31661.20283	7083218.808	3337230.334	10	0.774	0.775	17.091	NA	-6.572	-76.134	11	1049	56378936	Ranitomeya imitator	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	DENDROBATIDAE	Ranitomeya	LC	Stable	FALSE	TRUE	TRUE	LC	0.775	210	1	0
Rattus norvegicus	7904	R958	2009	Mammalia	Muridae	Rattus	norvegicus	Rattus_norvegicus	Norway rat	NAm	USA	Northeast Market	27	0.0499	Population	514.8423069	7679.336699	3296.253091	11	0.722	0.759	6.6	NA	39.296	-76.588	10	4668	19353	Rattus norvegicus	ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	MURIDAE	Rattus	LC	Stable	FALSE	FALSE	TRUE	LC	0.710705882352941	416	1	0
Reithrodontomys raviventris	7437	R875	2016	Mammalia	Cricetidae	Reithrodontomys	raviventris	Reithrodontomys_raviventris	Salt marsh harvest mouse	NAm	USA	San francisco bay	30	0.1435	Population	78077.44297	78077.44297	78077.44297	2	0.49	0.52	3.9	3.8	37.507	-122.04	8	4107	19401	Reithrodontomys raviventris	ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	CRICETIDAE	Reithrodontomys	EN	Decreasing	FALSE	FALSE	TRUE	EN	0.57	90	4	1
Reithrodontomys spectabilis	7433	R874	2014	Mammalia	Cricetidae	Reithrodontomys	spectabilis	Reithrodontomys_spectabilis	Cozumel mouse	NAm	MEX	Capa4.8	11	0.066	Population	3886.160406	16021.01735	11728.75424	4	0.838	0.732	5.889	NA	20.408	-86.943	10	4103	19416	Reithrodontomys spectabilis	ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	CRICETIDAE	Reithrodontomys	CR	Decreasing	FALSE	FALSE	TRUE	CR	0.7465	89	5	1
Rhinella jimi	4489	R430	2014	Amphibia	Bufonidae	Rhinella	jimi	Rhinella_jimi	Rhinella jimi	SAm	BRA	Uaua	10	NA	NA	252929.2571	1458027.777	840429.2523	5	0.696	0.741	8	NA	-9.971	-39.177	12	594	54674	Rhinella jimi	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	BUFONIDAE	Rhinella	LC	Stable	FALSE	TRUE	TRUE	LC	0.7345	20	1	0
Rhinella marina	4495	R431	2016	Amphibia	Bufonidae	Rhinella	marina	Rhinella_marina	Cane toad	SAm	BRA	Viseu (Mainland)	15	0.119	Population	1673.132582	528933.6947	288785.093	12	0.67	0.76	6.6	4.44	-1.202	-46.122	9	600	41065	Rhinella marina	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	BUFONIDAE	Rhinella	LC	Increasing	FALSE	TRUE	TRUE	LC	0.748076923076923	329	1	0
